p, N(p), SD, #percolation, size
0.2,6.7179,4.69275,1040,5
0.21,7.1384,4.59733,1262,5
0.22,7.4782,4.51155,1567,5
0.23,7.8668,4.30273,1948,5
0.24,8.0175,4.12184,2225,5
0.25,8.2316,3.95428,2543,5
0.26,8.3803,3.74469,2830,5
0.27,8.4041,3.52454,3257,5
0.28,8.4141,3.41028,3611,5
0.29,8.3641,3.17618,3934,5
0.3,8.2593,3.0533,4203,5
0.31,8.193,2.9214,4592,5
0.32,8.0399,2.7834,4944,5
0.33,7.8844,2.70696,5364,5
0.34,7.7549,2.60849,5550,5
0.35,7.5564,2.50428,5917,5
0.36,7.3414,2.38965,6179,5
0.37,7.1826,2.32698,6392,5
0.38,6.997,2.3053,6811,5
0.39,6.8117,2.20958,6975,5
0.1,8.5923,10.0219,65,10
0.105,10.0566,11.1356,98,10
0.11,11.5797,11.9006,144,10
0.115,13.1999,12.6543,236,10
0.12,14.7662,13.2482,366,10
0.125,16.5131,13.6843,503,10
0.13,18.0798,13.9766,686,10
0.135,19.6244,13.9511,905,10
0.14,21.3305,13.7721,1248,10
0.145,22.3111,13.3598,1480,10
0.15,23.5935,12.8473,1853,10
0.155,24.357,12.2593,2211,10
0.16,24.6288,11.5702,2533,10
0.165,25.2776,10.9334,2986,10
0.17,25.5388,10.2519,3326,10
0.175,25.4955,9.72654,3768,10
0.18,25.447,9.01039,4198,10
0.185,25.1344,8.41,4512,10
0.19,24.8854,8.17196,4834,10
0.195,24.4102,7.70039,5204,10
0.1,22.8411,23.6154,372,15
0.105,27.2596,25.3196,645,15
0.11,31.5126,26.002,939,15
0.115,35.3196,26.2738,1425,15
0.12,39.6801,25.5752,1984,15
0.125,42.5741,23.9549,2626,15
0.13,43.857,22.0498,3224,15
0.135,45.3532,19.9099,3901,15
0.14,45.703,17.8304,4453,15
0.145,45.6976,15.8785,5162,15
0.15,44.8118,14.1632,5743,15
0.155,43.2285,12.7974,6165,15
0.16,41.4868,11.6907,6554,15
0.165,39.7716,10.807,6982,15
0.17,38.0721,9.87702,7313,15
0.175,36.1555,9.10539,7646,15
0.18,34.5557,8.62614,7872,15
0.185,33.0157,8.24836,8010,15
0.19,31.6378,7.7313,8210,15
0.195,30.217,7.06065,8384,15
0.1,45.7232,40.0697,1484,20
0.105,53.4643,39.4384,2223,20
0.11,60.5923,37.0352,3140,20
0.115,64.3245,33.0304,4043,20
0.12,67.268,28.5569,5018,20
0.125,66.7313,24.4558,5856,20
0.13,65.4219,21.0051,6520,20
0.135,62.8354,17.7443,7149,20
0.14,59.2465,15.6454,7596,20
0.145,56.1018,14.3014,8055,20
0.15,52.465,12.405,8315,20
0.155,49.2326,11.4832,8480,20
0.16,46.3397,10.4329,8678,20
0.165,43.542,9.43745,8809,20
0.17,41.2327,8.82317,8996,20
0.175,39.127,8.22026,9100,20
0.18,36.9861,7.76374,9250,20
0.185,35.16,7.25963,9335,20
0.19,33.6855,6.99475,9400,20
0.195,32.1291,6.50692,9467,20
0.05,4.8107,4.41985,0,25
0.055,5.9981,5.49603,0,25
0.06,7.863,9.59994,0,25
0.065,10.0948,13.3959,3,25
0.07,13.6536,19.6587,19,25
0.075,19.708,29.7402,98,25
0.08,27.4068,38.8915,284,25
0.085,37.3321,46.7166,645,25
0.09,50.4966,52.9466,1339,25
0.095,63.3882,54.57,2220,25
0.1,75.7785,52.0805,3397,25
0.105,83.8966,45.9016,4690,25
0.11,88.642,38.1868,5842,25
0.115,88.1603,31.3832,6797,25
0.12,84.8256,25.3122,7590,25
0.125,80.2025,20.8638,8240,25
0.13,74.1001,17.8716,8586,25
0.135,68.855,15.8182,8787,25
0.14,63.568,13.7967,9006,25
0.145,58.8733,12.1598,9151,25
0.05,5.9,4.9097,0,30
0.055,7.5538,7.83605,1,30
0.06,10.1456,13.3225,6,30
0.065,13.6152,20.9612,18,30
0.07,19.0697,31.0773,89,30
0.075,27.9076,42.9848,252,30
0.08,40.9243,55.838,681,30
0.085,58.6886,65.7608,1484,30
0.09,77.3678,68.7388,2641,30
0.095,94.4385,64.4538,4080,30
0.1,105.43,55.0125,5620,30
0.105,109.624,43.2977,6919,30
0.11,107.044,34.2982,7856,30
0.115,100.606,26.5599,8541,30
0.12,92.8501,21.506,8931,30
0.125,84.6383,18.3578,9143,30
0.13,77.0069,15.5768,9366,30
0.135,70.959,13.9242,9459,30
0.14,65.2569,12.4383,9549,30
0.145,60.4453,11.2711,9617,30
0.05,6.9974,5.8544,0,35
0.055,8.9164,9.61859,1,35
0.06,11.8957,16.6591,10,35
0.065,16.6738,26.8577,42,35
0.07,25.55,44.2394,196,35
0.075,39.4881,60.3498,563,35
0.08,59.1171,74.9477,1293,35
0.085,84.0205,81.7043,2628,35
0.09,106.651,78.927,4180,35
0.095,121.637,67.4536,5827,35
0.1,127.561,51.6192,7271,35
0.105,126.472,38.9763,8412,35
0.11,117.189,29.1577,9002,35
0.115,106.475,23.5583,9350,35
0.12,95.6287,19.3727,9516,35
0.125,86.3946,16.6898,9617,35
0.13,78.8623,14.6677,9681,35
0.135,72.1765,13.0897,9757,35
0.14,66.4234,11.8505,9814,35
0.145,61.5103,10.699,9860,35
0.05,7.9208,6.46238,0,40
0.055,10.3997,12.4274,3,40
0.06,13.8799,20.2012,14,40
0.065,20.531,37.5303,90,40
0.07,33.0323,57.0606,348,40
0.075,52.5806,77.2142,917,40
0.08,81.2478,92.2582,2103,40
0.085,111.276,94.3565,3734,40
0.09,135.739,83.458,5648,40
0.095,148.705,63.6915,7403,40
0.1,146.324,45.8248,8573,40
0.105,136.499,32.9436,9258,40
0.11,122.466,26.2616,9515,40
0.115,108.526,21.1767,9701,40
0.12,97.2932,18.0166,9782,40
0.125,87.6903,15.4283,9832,40
0.13,79.9488,13.6825,9852,40
0.135,73.2426,12.439,9877,40
0.14,67.4457,11.4603,9910,40
0.145,62.2918,10.3305,9945,40
0.05,8.9659,7.26023,0,45
0.055,11.8815,16.0959,4,45
0.06,16.2797,26.5064,35,45
0.065,25.5786,48.7724,158,45
0.07,41.3197,70.7514,519,45
0.075,69.2665,94.7468,1402,45
0.08,105.796,107.688,2979,45
0.085,139.839,102.642,4897,45
0.09,162.514,82.3431,6909,45
0.095,167.972,58.926,8438,45
0.1,157.865,40.8287,9280,45
0.105,141.112,30.0961,9649,45
0.11,124.616,23.9789,9749,45
0.115,110.316,19.7941,9846,45
0.12,98.7098,16.9776,9891,45
0.125,89.1784,14.9748,9907,45
0.13,80.8735,13.3962,9930,45
0.135,73.947,11.9758,9947,45
0.14,68.1282,11.0004,9959,45
0.145,62.9381,10.2267,9961,45
0.05,9.8102,7.38654,0,50
0.055,13.0207,16.771,6,50
0.06,18.2873,31.7685,39,50
0.065,30.2169,57.2637,227,50
0.07,51.2379,85.8448,737,50
0.075,85.2676,110.498,1831,50
0.08,128.5,119.699,3649,50
0.085,167.901,106.82,5948,50
0.09,187.477,79.5024,7883,50
0.095,182.901,52.7366,9092,50
0.1,165.707,36.1404,9675,50
0.105,144.197,28.0314,9821,50
0.11,126.425,22.6748,9881,50
0.115,111.888,19.0026,9919,50
0.12,100.098,16.6537,9926,50
0.125,89.8936,14.736,9957,50
0.13,81.4922,12.995,9966,50
0.135,74.7197,11.8199,9973,50
0.14,68.7063,10.8503,9981,50
0.145,63.5048,9.97677,9983,50
0.05,10.6495,8.55928,1,55
0.055,14.3646,18.8758,10,55
0.06,21.9752,42.9298,83,55
0.065,35.9558,69.768,315,55
0.07,61.9755,100.739,964,55
0.075,107.573,128.186,2434,55
0.08,158.339,130.098,4562,55
0.085,195.028,106.389,6874,55
0.09,208.158,71.2352,8712,55
0.095,194.041,46.4071,9555,55
0.1,169.162,34.1283,9826,55
0.105,146.64,26.693,9922,55
0.11,127.661,21.7437,9948,55
0.115,112.854,18.1396,9963,55
0.12,100.534,16.074,9962,55
0.125,90.5841,14.0865,9984,55
0.13,82.3855,12.5956,9978,55
0.135,75.1399,11.6442,9984,55
0.14,69.0199,10.6311,9990,55
0.145,63.7821,9.76112,9993,55
0.05,11.61,12.1681,0,60
0.055,15.4793,22.4845,14,60
0.06,23.8824,46.2392,88,60
0.065,40.1598,78.167,363,60
0.07,78.3485,121.116,1311,60
0.075,127.935,142.95,2908,60
0.08,187.641,137.016,5393,60
0.085,222.144,104.102,7663,60
0.09,223.505,65.7054,9194,60
0.095,199.936,43.6012,9770,60
0.1,172.179,32.6882,9913,60
0.105,147.76,25.1627,9957,60
0.11,128.708,20.9507,9977,60
0.115,113.791,18.0058,9964,60
0.12,101.579,15.6368,9985,60
0.125,90.9389,13.8625,9990,60
0.13,82.538,12.5735,9997,60
0.135,75.7062,11.575,9995,60
0.14,69.6311,10.5472,9994,60
0.145,64.1578,9.74784,9999,60
0.05,12.4898,14.3946,3,65
0.055,17.4276,29.0995,21,65
0.06,26.4048,54.2055,124,65
0.065,48.1151,92.7527,507,65
0.07,91.8435,136.095,1574,65
0.075,153.735,156.585,3503,65
0.08,216.342,142.182,6074,65
0.085,245.747,98.8473,8308,65
0.09,235.769,60.7019,9537,65
0.095,203.991,40.9707,9866,65
0.1,173.772,30.64,9960,65
0.105,149.439,24.6847,9970,65
0.11,130.245,20.4791,9971,65
0.115,114.429,17.5498,9984,65
0.12,102.059,15.6397,9989,65
0.125,91.7337,13.7349,9996,65
0.13,83.2781,12.2585,9994,65
0.135,76.0072,11.183,9997,65
0.14,69.9144,10.3064,9999,65
0.145,64.3572,9.41894,10000,65
0.05,13.349,17.1217,6,70
0.055,18.5558,32.6712,26,70
0.06,29.2958,60.839,141,70
0.065,56.4946,108.015,637,70
0.07,105.412,149.597,1796,70
0.075,178,169.682,3998,70
0.08,244.22,143.777,6710,70
0.085,264.803,93.2042,8784,70
0.09,243.84,55.0427,9739,70
0.095,207.398,39.7126,9943,70
0.1,175.161,29.8181,9982,70
0.105,150.655,24.1605,9986,70
0.11,130.909,20.3023,9994,70
0.115,115.068,17.2532,9992,70
0.12,102.723,15.0975,9994,70
0.125,92.3428,13.6817,9999,70
0.13,83.6779,12.1781,9997,70
0.135,76.5155,11.0469,9999,70
0.14,70.2304,10.1572,10000,70
0.145,64.915,9.40926,10000,70
0.05,13.8334,12.5892,1,75
0.055,20.9231,42.607,50,75
0.06,32.9144,70.655,181,75
0.065,66.4147,124.243,782,75
0.07,126.644,169.137,2191,75
0.075,206.63,180.673,4589,75
0.08,273.805,143.454,7363,75
0.085,282.47,86.2534,9214,75
0.09,248.832,53.396,9843,75
0.095,209.005,37.573,9976,75
0.1,176.885,29.3625,9983,75
0.105,151.859,24.0141,9989,75
0.11,131.709,20.2154,9998,75
0.115,115.84,17.0734,9998,75
0.12,102.992,15.1121,9998,75
0.125,92.4941,13.1597,9997,75
0.13,83.9175,11.8167,9999,75
0.135,76.5832,10.9043,9999,75
0.14,70.4488,9.89321,10000,75
0.145,64.9905,9.23728,10000,75
0.05,14.8574,19.478,5,80
0.055,21.42,40.4785,41,80
0.06,37.6219,82.5104,229,80
0.065,72.6446,133.902,844,80
0.07,144.097,184.746,2478,80
0.075,235.044,189.584,5124,80
0.08,297.112,139.684,7844,80
0.085,294.995,80.3856,9461,80
0.09,254.906,50.6967,9922,80
0.095,211.574,36.8461,9987,80
0.1,178.315,28.9748,9995,80
0.105,152.556,23.6637,9997,80
0.11,132.204,19.7586,9996,80
0.115,116.481,17.0006,10000,80
0.12,103.632,14.8054,10000,80
0.125,92.9483,12.9576,9999,80
0.13,84.2578,11.637,10000,80
0.135,77.0183,10.7014,9998,80
0.14,70.6752,9.94616,10000,80
0.145,65.1776,9.13743,10000,80
0.05,15.5754,20.8967,7,85
0.055,22.6306,44.3947,45,85
0.06,40.7224,89.5745,250,85
0.065,83.4995,150.878,985,85
0.07,166.945,201.313,2845,85
0.075,264.373,196.638,5626,85
0.08,318.498,136.342,8250,85
0.085,305.357,76.3438,9624,85
0.09,257.828,48.9829,9955,85
0.095,212.907,35.6838,9994,85
0.1,179.224,28.5511,9994,85
0.105,152.783,22.9655,9998,85
0.11,133.225,19.6699,9999,85
0.115,116.744,16.9079,9999,85
0.12,103.882,14.5149,10000,85
0.125,93.4231,12.9748,10000,85
0.13,84.8164,11.7859,9999,85
0.135,77.2314,10.7059,10000,85
0.14,70.9642,9.64961,10000,85
0.145,65.6145,9.13945,10000,85
0.05,16.3137,24.2943,7,90
0.055,24.7125,53.4575,58,90
0.06,46.7045,104.441,325,90
0.065,96.1773,167.874,1159,90
0.07,189.097,217.123,3153,90
0.075,295.594,200.565,6160,90
0.08,344.553,126.834,8747,90
0.085,313.771,71.5544,9781,90
0.09,260.376,47.6066,9981,90
0.095,215.282,36.1357,9995,90
0.1,180.233,27.9403,9997,90
0.105,153.773,22.7886,9998,90
0.11,133.184,19.1564,9998,90
0.115,117.593,16.6035,10000,90
0.12,104.183,14.2793,10000,90
0.125,93.6135,12.6304,10000,90
0.13,84.9906,11.4346,9999,90
0.135,77.4949,10.5089,10000,90
0.14,70.9752,9.48663,9999,90
0.145,65.8201,9.07818,10000,90
0.05,17.0509,23.5485,8,95
0.055,25.7172,53.9909,60,95
0.06,49.933,112.784,350,95
0.065,109.229,186.287,1312,95
0.07,214.583,232.201,3541,95
0.075,320.458,205.2,6526,95
0.08,362.316,122.545,9022,95
0.085,320.091,68.394,9867,95
0.09,262.371,46.9071,9988,95
0.095,216.342,35.1909,9995,95
0.1,180.937,27.7809,9998,95
0.105,154.393,23.0047,10000,95
0.11,134.008,18.8721,9999,95
0.115,117.953,16.3922,10000,95
0.12,104.639,14.1406,10000,95
0.125,94.1065,12.5529,10000,95
0.13,85.2312,11.4463,10000,95
0.135,77.7201,10.4265,10000,95
0.14,71.3826,9.55239,10000,95
0.145,66.0175,8.86423,10000,95
0.05,18.3583,35.5809,17,100
0.055,26.9683,58.354,63,100
0.06,55.8746,125.857,391,100
0.065,120.694,200.771,1434,100
0.07,233.297,243.4,3766,100
0.075,352.317,205.561,7010,100
0.08,379.146,116.131,9269,100
0.085,326.178,66.0433,9926,100
0.09,264.413,46.0924,9992,100
0.095,217.402,34.643,9998,100
0.1,181.243,27.3339,9999,100
0.105,154.958,22.6666,10000,100
0.11,134.117,18.519,10000,100
0.115,117.917,16.0705,10000,100
0.12,105.001,13.9797,9999,100
0.125,94.435,12.5547,10000,100
0.13,85.5814,11.4547,10000,100
0.135,78.0155,10.3963,10000,100
0.14,71.5606,9.40734,10000,100
0.145,66.0936,8.72343,10000,100
0.05,18.6507,30.1757,12,105
0.055,29.2716,65.8249,79,105
0.06,58.5597,132.118,413,105
0.065,135.921,218.154,1636,105
0.07,259.564,257.761,4105,105
0.075,378.001,203.847,7389,105
0.08,391.846,112.426,9425,105
0.085,329.878,64.2185,9951,105
0.09,266.035,45.3015,9997,105
0.095,217.744,34.5953,9999,105
0.1,182.406,27.0808,10000,105
0.105,155.203,22.0373,9999,105
0.11,134.904,18.5788,10000,105
0.115,118.532,15.9094,10000,105
0.12,105.311,13.8734,9999,105
