p, N(p), SD, #percolation, size
0.125,94.5577,12.3954,10000,105
0.13,85.6589,11.2461,10000,105
0.135,78.0979,10.1077,10000,105
0.14,71.8497,9.31453,10000,105
0.145,66.4074,8.65233,10000,105
0.05,19.0875,25.6666,8,110
0.055,30.1273,68.7269,75,110
0.06,63.2588,143.335,446,110
0.065,149.444,233.435,1782,110
0.07,292.884,269.962,4560,110
0.075,406.389,202.377,7771,110
0.08,405.207,105.495,9602,110
0.085,334.589,63.5273,9974,110
0.09,268.392,44.6699,9998,110
0.095,219.287,34.2287,9999,110
0.1,183.388,27.1847,9999,110
0.105,156.363,21.9893,10000,110
0.11,135.359,18.4629,10000,110
0.115,119.097,16.0454,10000,110
0.12,105.627,13.5907,10000,110
0.125,94.8064,12.272,10000,110
0.13,85.9901,11.0541,10000,110
0.135,78.3283,10.0154,10000,110
0.14,71.8438,9.22876,10000,110
0.145,66.5121,8.55631,10000,110
0.05,20.1004,37.8612,16,115
0.055,34.5241,85.0124,113,115
0.06,74.0568,164.296,566,115
0.065,163.139,249.75,1909,115
0.07,313.101,279.48,4768,115
0.075,432.038, -nan,8096,115
0.08,414.714,102.507,9681,115
0.085,336.309,62.6009,9984,115
0.09,268.956,43.8448,10000,115
0.095,220.747,34.1449,10000,115
0.1,184.464,26.723,10000,115
0.105,156.612,21.701,10000,115
0.11,135.653,18.2388,10000,115
0.115,119.183,15.4832,10000,115
0.12,106.065,13.7036,10000,115
0.125,95.19,12.0588,10000,115
0.13,85.9467,10.8409,10000,115
0.135,78.7206,10.088,10000,115
0.14,72.332,9.23597,10000,115
0.145,66.7396,8.41818,10000,115
0.05,20.0038,25.5477,7,120
0.055,35.6572,87.3098,112,120
0.06,77.0525,170.556,582,120
0.065,190.041,273.489,2218,120
0.07,352.192,288.76,5293,120
0.075,454.601, -nan,8365,120
0.08,423.289,99.5476,9771,120
0.085,338.093,60.733,9994,120
0.09,270.455,44.8868,10000,120
0.095,220.436,32.9454,10000,120
0.1,184.214,26.3229,10000,120
0.105,156.953,21.1236,10000,120
0.11,136.148,18.3349,10000,120
0.115,119.531,15.4844,10000,120
0.12,106.244,13.4953,10000,120
0.125,95.3299,12.1325,10000,120
0.13,86.1868,10.7226,10000,120
0.135,78.796,9.90104,10000,120
0.14,72.2171,9.05917,10000,120
0.145,66.9794,8.57425,10000,120
0.05,21.2151,39.8145,15,125
0.055,36.1537,88.9406,104,125
0.06,81.0964,180.577,601,125
0.065,202.694,286.394,2330,125
0.07,375.126, -nan,5492,125
0.075,476.341, -nan,8621,125
0.08,430.347,96.544,9835,125
0.085,341.259,60.9648,9996,125
0.09,272.051,43.7298,10000,125
0.095,221.235,32.6313,10000,125
0.1,185.102,26.2028,10000,125
0.105,157.868,21.7974,10000,125
0.11,136.348,17.752,10000,125
0.115,119.597,15.266,10000,125
0.12,106.631,13.5332,10000,125
0.125,95.4538,11.851,10000,125
0.13,86.5369,10.8266,10000,125
0.135,79.1013,9.86261,10000,125
0.14,72.6474,9.14678,10000,125
0.145,66.9358,8.37196,10000,125
0.05,22.0074,39.8391,15,130
0.055,37.5797,92.9192,112,130
0.06,91.4267,199.221,691,130
0.065,215.202,297.679,2436,130
0.07,407.837,304.225,5868,130
0.075,494.847,185.879,8802,130
0.08,437.242,91.4196,9915,130
0.085,342.689,60.3928,9999,130
0.09,272.989,43.3068,10000,130
0.095,223.061,33.3929,10000,130
0.1,185.421,26.1444,10000,130
0.105,157.875,21.2792,10000,130
0.11,136.639,17.6638,10000,130
0.115,120.059,15.266,10000,130
0.12,106.645,13.4098,10000,130
0.125,95.7378,11.89,10000,130
0.13,86.9812,10.7953,10000,130
0.135,79.1448,9.61484,10000,130
0.14,72.8512,9.05258,10000,130
0.145,67.2386,8.33129,10000,130
0.05,22.6927,42.4635,17,135
0.055,40.3381,103.892,131,135
0.06,100.736,215.683,778,135
0.065,241.432,319.724,2701,135
0.07,430.303,310.545,6068,135
0.075,512.551,180.579,8994,135
0.08,440.683,89.3375,9947,135
0.085,344.096,58.4893,9998,135
0.09,273.458,42.2188,10000,135
0.095,223.591,33.0855,10000,135
0.1,186.262,25.7533,10000,135
0.105,158.156,21.1742,10000,135
0.11,137.178,17.7226,10000,135
0.115,120.549,15.2701,10000,135
0.12,106.897,13.0742,10000,135
0.125,95.9427,11.7864,10000,135
0.13,86.9245,10.5493,10000,135
0.135,79.3634,9.57736,10000,135
0.14,72.946,8.84735,10000,135
0.145,67.4965,8.33731,10000,135
0.05,23.1632,40.0965,14,140
0.055,44.5725,118.347,169,140
0.06,107.88,228.491,830,140
0.065,261.231,334.862,2881,140
0.07,455.913,315.647,6301,140
0.075,534.271,173.01,9204,140
0.08,445.315,89.4777,9950,140
0.085,346.579,58.6063,9998,140
0.09,273.821,42.2621,10000,140
0.095,223.964,32.7051,10000,140
0.1,187.208,25.9063,10000,140
0.105,158.581,20.8331,10000,140
0.11,137.459,17.4691,10000,140
0.115,120.807,15.0839,10000,140
0.12,107.242,13.0048,10000,140
0.125,95.9383,11.5522,10000,140
0.13,87.0984,10.4713,10000,140
0.135,79.5107,9.56526,10000,140
0.14,72.9543,8.71892,10000,140
0.145,67.4729,8.10614,10000,140
0.05,25.1061,57.4317,29,145
0.055,45.9418,122.804,170,145
0.06,117.078,244.638,898,145
0.065,279.196,349.617,3027,145
0.07,493.71,316.436,6713,145
0.075,548.4,165.67,9358,145
0.08,448.589,89.3034,9960,145
0.085,346.63,57.9628,9998,145
0.09,274.507,42.2322,10000,145
0.095,223.981,32.338,10000,145
0.1,187.108,25.185,10000,145
0.105,159.226,20.576,10000,145
0.11,137.67,17.174,10000,145
0.115,121.005,14.9259,10000,145
0.12,107.302,12.9923,10000,145
0.125,96.4084,11.7214,10000,145
0.13,87.3643,10.6436,10000,145
0.135,79.8625,9.73324,10000,145
0.14,73.133,8.88238,10000,145
0.145,67.5932,8.11349,10000,145
0.05,24.2262,42.4322,15,150
0.055,48.2598,129.99,179,150
0.06,125.019,257.547,954,150
0.065,303.152,366.335,3227,150
0.07,520.839,317.753,6959,150
0.075,558.449,161.1,9443,150
0.08,452.105,86.0512,9981,150
0.085,349.008,58.7161,10000,150
0.09,275.753,42.0718,10000,150
0.095,224.81,31.8789,10000,150
0.1,187.734,24.9885,10000,150
0.105,159.804,20.5843,10000,150
0.11,137.868,17.3396,10000,150
0.115,121.281,14.8556,10000,150
0.12,107.657,12.9344,10000,150
0.125,96.6428,11.5571,10000,150
0.13,87.6226,10.5102,10000,150
0.135,79.9094,9.57053,10000,150
0.14,73.332,8.71844,10000,150
0.145,67.6715,8.07242,10000,150
0.05,25.5222,53.2956,21,155
0.055,48.1797,129.005,168,155
0.06,139.142,278.867,1061,155
0.065,328.035,382.639,3441,155
0.07,553.38,319.061,7250,155
0.075,572.503,155.331,9559,155
0.08,453.374,85.1836,9987,155
0.085,350.384,57.5678,10000,155
0.09,277.259,41.4466,10000,155
0.095,225.118,31.3731,10000,155
0.1,188.238,24.8365,10000,155
0.105,160.095,20.6424,10000,155
0.11,138.556,17.2784,10000,155
0.115,121.566,14.7126,10000,155
0.12,107.897,12.76,10000,155
0.125,96.7228,11.3966,10000,155
0.13,87.5012,10.3232,10000,155
0.135,79.8928,9.48161,10000,155
0.14,73.4751,8.66598,10000,155
0.145,67.9219,7.97122,10000,155
0.05,27.3637,63.3616,28,160
0.055,54.9734,152.895,219,160
0.06,143.757,288.14,1083,160
0.065,351.296,396.485,3637,160
0.07,580.245,316.546,7508,160
0.075,584.289,154.398,9622,160
0.08,457.939,84.8922,9992,160
0.085,351.396,57.3717,10000,160
0.09,277.661,41.7063,10000,160
0.095,226.03,31.6336,10000,160
0.1,188.484,24.6286,10000,160
0.105,160.569,20.2723,10000,160
0.11,138.494,17.0849,10000,160
0.115,121.584,14.5652,10000,160
0.12,108.133,12.824,10000,160
0.125,96.8743,11.2335,10000,160
0.13,87.6242,10.0742,10000,160
0.135,80.2033,9.46558,10000,160
0.14,73.4746,8.50625,10000,160
0.145,67.8443,7.99095,10000,160
0.05,27.1856,61.3857,28,165
0.055,57.1413,157.489,224,165
0.06,155.017,305.429,1169,165
0.065,382.824,412.564,3920,165
0.07,599.195,319.514,7613,165
0.075,592.768,145.604,9720,165
0.08,458.975,83.5903,9997,165
0.085,351.995,56.6901,10000,165
0.09,277.948,41.8604,10000,165
0.095,226.569,31.6692,10000,165
0.1,188.96,24.7132,10000,165
0.105,160.901,20.42,10000,165
0.11,138.853,17.0076,10000,165
0.115,121.636,14.3705,10000,165
0.12,108.352,12.7005,10000,165
0.125,97.089,11.3213,10000,165
0.13,87.88,10.1251,10000,165
0.135,80.1546,9.39079,10000,165
0.14,73.7201,8.50938,10000,165
0.145,68.0715,7.93485,10000,165
0.05,27.7633,62.2734,24,170
0.055,60.3876,168.161,243,170
0.06,162.513,317.795,1213,170
0.065,401.029,423.54,4037,170
0.07,628.9,316.293,7850,170
0.075,604.045,143.358,9778,170
0.08,460.849,83.731,9995,170
0.085,354.134,56.5492,9999,170
0.09,279.146,41.2023,10000,170
0.095,226.596,31.3931,10000,170
0.1,189.32,24.4867,10000,170
0.105,160.729,19.9563,10000,170
0.11,139.155,16.9588,10000,170
0.115,122.081,14.3476,10000,170
0.12,108.292,12.6556,10000,170
0.125,97.5157,11.1575,10000,170
0.13,88.2199,10.2612,10000,170
0.135,80.3071,9.15968,10000,170
0.14,73.8162,8.53604,10000,170
0.145,68.1916,8.00716,10000,170
0.05,30.1023,77.7374,38,175
0.055,61.2255,170.658,237,175
0.06,179.413,340.418,1333,175
0.065,427.013,437.942,4227,175
0.07,655.342,309.529,8120,175
0.075,611.885,139.927,9836,175
0.08,463.342,81.7229,9998,175
0.085,353.992,56.4884,10000,175
0.09,280.442,40.9097,10000,175
0.095,227.683,31.1489,10000,175
0.1,190.209,24.601,10000,175
0.105,161.446,20.2634,10000,175
0.11,139.524,16.5145,10000,175
0.115,122.524,14.3819,10000,175
0.12,108.449,12.3956,10000,175
0.125,97.5256,11.0749,10000,175
0.13,88.2658,10.1791,10000,175
0.135,80.4837,9.3289,10000,175
0.14,74.0292,8.54914,10000,175
0.145,68.2434,7.83817,10000,175
0.05,29.9219,74.229,36,180
0.055,66.9524,187.057,276,180
0.06,189.676,354.6,1390,180
0.065,455.406,451.014,4427,180
0.07,676.578,309.535,8251,180
0.075,617.908,138.258,9867,180
0.08,465.085,82.9847,10000,180
0.085,355.558,55.979,10000,180
0.09,280.667,40.4413,10000,180
0.095,228.037,30.9485,10000,180
0.1,190.343,24.6555,10000,180
0.105,161.444,19.8861,10000,180
0.11,139.823,16.645,10000,180
0.115,122.532,14.3324,10000,180
0.12,109.006,12.6197,10000,180
0.125,97.6276,11.1186,10000,180
0.13,88.3374,9.96452,10000,180
0.135,80.477,9.14956,10000,180
0.14,74.0369,8.527,10000,180
0.145,68.3315,7.69487,10000,180
0.05,30.5703,73.248,34,185
0.055,71.1477,200.474,299,185
0.06,201.911,369.647,1474,185
0.065,486.474,462.941,4677,185
0.07,699.4,305.757,8415,185
0.075,625.243,133.876,9910,185
0.08,466.799,80.4064,9999,185
0.085,356.2,55.542,10000,185
0.09,280.527,40.603,10000,185
0.095,229.312,31.0056,10000,185
0.1,190.189,24.0815,10000,185
0.105,161.967,19.8689,10000,185
0.11,140.031,16.3723,10000,185
0.115,122.643,14.0567,10000,185
0.12,108.96,12.4231,10000,185
0.125,97.7968,11.0997,10000,185
0.13,88.5866,10.0411,10000,185
0.135,80.8487,9.29662,10000,185
0.14,74.2482,8.38302,10000,185
0.145,68.4753,7.73386,10000,185
0.05, 31.6246, 79.7514, 35, 190
0.055, 72.7735, 204.847, 300, 190
0.06, 215.795, 388.01, 1558, 190
0.065, 507.018, 473.993, 4780, 190
0.07, 727.3, 294.266, 8665, 190
0.075, 628.312, 133.915, 9920, 190
0.08, 469.201, 80.8581, 10000, 190
0.085, 357.123, 55.5006, 10000, 190
0.09, 281.635, 40.1503, 10000, 190
0.095, 229.107, 30.5426, 10000, 190
0.1, 190.74, 24.0778, 10000, 190
0.105, 161.704, 19.6214, 10000, 190
0.11, 140.447, 16.5658, 10000, 190
0.115, 123.007, 14.1896, 10000, 190
0.12, 109.005, 12.2505, 10000, 190
0.125, 97.9724, 11.0433, 10000, 190
0.13, 88.6207, 9.90377, 10000, 190
0.135, 80.8364, 8.98129, 10000, 190
0.14, 74.1373, 8.25853, 10000, 190
0.145, 68.5702, 7.76884, 10000, 190
0.05, 33.776, 93.5893, 49, 195
0.055, 80.1374, 224.534, 347, 195
0.06, 230.064, 405.598, 1648, 195
0.065, 543.389, 484.299, 5071, 195
0.07, 749.144, 291.282, 8785, 195
0.075, 630.856, 132.705, 9927, 195
0.08, 470.882, 80.4412, 10000, 195
0.085, 357.135, 54.8904, 10000, 195
0.09, 282.581, 39.7895, 10000, 195
0.095, 229.194, 30.1624, 10000, 195
0.1, 191.252, 24.0616, 10000, 195
0.105, 162.484, 19.6152, 10000, 195
0.11, 140.377, 16.335, 10000, 195
0.115, 122.832, 14.1518, 10000, 195
0.12, 109.221, 12.4063, 10000, 195
0.125, 98.0017, 10.991, 10000, 195
0.13, 88.9091, 9.86075, 10000, 195
0.135, 81.0365, 9.16058, 10000, 195
0.14, 74.5841, 8.42192, 10000, 195
0.145, 68.7242, 7.7479, 10000, 195
0.05, 31.7413, 76.6007, 30, 200
0.055, 78.7353, 221.588, 324, 200
0.06, 250.385, 428.594, 1791, 200
0.065, 574.116, 494.318, 5280, 200
0.07, 768.826, 283.733, 8934, 200
0.075, 637.729, 129.281, 9954, 200
0.08, 472.109, 80.1428, 10000, 200
0.085, 359.422, 55.0307, 10000, 200
0.09, 282.717, 39.7333, 10000, 200
0.095, 230.027, 29.8944, 10000, 200
0.1, 191.705, 24.0461, 10000, 200
0.105, 162.583, 19.5936, 10000, 200
0.11, 141.073, 16.4396, 10000, 200
0.115, 123.208, 14.103, 10000, 200
0.12, 109.428, 12.3607, 10000, 200
0.125, 98.2405, 10.9296, 10000, 200
0.13, 89.0339, 9.87815, 10000, 200
0.135, 81.0305, 9.02326, 10000, 200
0.14, 74.4901, 8.30317, 10000, 200
0.145, 68.8283, 7.76523, 10000, 200